number,name,species,primary_type,secondary_type,pokedexX,pokedexY,pokedexOR,pokedexAS
662,Fletchinder,Ember,FIRE,FLYING,"From its beak, it expels embers that set  the tall grass on fire. Then it pounces on  the bewildered prey that pop out of the grass.","The hotter the flame sac on its belly, the faster it can fly, but it takes some time to get the fire going.","From its beak, it expels embers that set the tall grass on fire. Then it pounces on the bewildered prey that pop out of the grass.","The hotter the flame sac on its belly, the faster it can fly, but it takes some time to get the fire going."
663,Talonflame,Scorching,FIRE,FLYING,"In the fever of an exciting battle, it showers embers from the gaps between its feathers and takes to the air.","When attacking prey, it can reach speeds of up to 310 mph. It finishes its prey off with a colossal kick.","In the fever of an exciting battle, it showers embers from the gaps between its feathers and takes to the air.","When attacking prey, it can reach speeds of up to 310 mph. It finishes its prey off with a colossal kick."
664,Scatterbug,Scatterdust,BUG,NONE,"When under attack from bird Pok̩mon, it spews a poisonous black powder that causes paralysis on contact.","The powder that covers its body regulates its temperature, so it can live in any region or climate.","When under attack from bird Pok̩mon, it spews a poisonous black powder that causes paralysis on contact.","The powder that covers its body regulates its temperature, so it can live in any region or climate."
665,Spewpa,Scatterdust,BUG,NONE,"It lives hidden within thicket shadows. When predators attack, it quickly bristles the fur  covering its body in an effort to threaten them.","The beaks of bird Pok̩mon can't begin to scratch its stalwart body. To defend itself, it spews powder.","It lives hidden within thicket shadows. When predators attack, it quickly bristles the fur covering its body in an effort to threaten them.","The beaks of bird Pok̩mon can't begin to scratch its stalwart body. To defend itself, it spews powder."
666,Vivillon,Scale,BUG,FLYING,Vivillon with many different patterns are  found all over the world. These patterns  are affected by the climate of their habitat.,The patterns on this Pok̩mon's wings depend on the climate and topography of its habitat. It scatters colorful scales.,Vivillon with many different patterns are found all over the world. These patterns are affected by the climate of their habitat.,The patterns on this Pok̩mon's wings depend on the climate and topography of its habitat. It scatters colorful scales.
667,Litleo,Lion Cub,FIRE,NORMAL,"The stronger the opponent it faces, the more heat surges from its mane and the more power flows through its body.",They set off on their own from their pride and live by themselves to become stronger. These hot-blooded Pok̩mon are quick to fight.,"The stronger the opponent it faces, the more heat surges from its mane and the more power flows through its body.",They set off on their own from their pride and live by themselves to become stronger. These hot-blooded Pok̩mon are quick to fight.
668,Pyroar,Royal,FIRE,NORMAL,The male with the largest mane of fire is the leader of the pride.,"With fiery breath of more than 10,000 degrees Fahrenheit, they viciously threaten any challenger. The females protect the pride's cubs.",The male with the largest mane of fire is the leader of the pride.,"With fiery breath of more than 10,000 degrees Fahrenheit, they viciously threaten any challenger. The females protect the pride's cubs."
669,Flab̩b̩,Single Bloom,FAIRY,NONE,It draws out and controls the hidden power of flowers. The flower Flab̩b̩ holds is most likely part of its body.,"When it finds a flower it likes, it dwells on that flower its whole life long. It floats in the wind's embrace with an untroubled heart.",It draws out and controls the hidden power of flowers. The flower Flab̩b̩ holds is most likely part of its body.,"When it finds a flower it likes, it dwells on that flower its whole life long. It floats in the wind's embrace with an untroubled heart."
670,Floette,Single Bloom,FAIRY,NONE,It flutters around fields of flowers and cares for flowers that are starting to wilt. It draws out the power of flowers to battle.,"When the flowers of a well-tended flower bed bloom, it appears and celebrates with an elegant dance.",It flutters around fields of flowers and cares for flowers that are starting to wilt. It draws out the power of flowers to battle.,"When the flowers of a well-tended flower bed bloom, it appears and celebrates with an elegant dance."
671,Florges,Garden,FAIRY,NONE,"It claims exquisite flower gardens as its territory, and it obtains power from basking in the energy emitted by flowering plants.","In times long past, governors of castles would invite Florges to create flower gardens to embellish the castle domains.","It claims exquisite flower gardens as its territory, and it obtains power from basking in the energy emitted by flowering plants.","In times long past, governors of castles would invite Florges to create flower gardens to embellish the castle domains."
672,Skiddo,Mount,GRASS,NONE,"Thought to be one of the first Pok̩mon to live in harmony with humans, it has a placid disposition.","If it has sunshine and water, it doesnt need to eat, because it can generate energy from the leaves on its back.","Thought to be one of the first Pok̩mon to live in harmony with humans, it has a placid disposition.","If it has sunshine and water, it doesn't need to eat, because it can generate energy from the leaves on its back."
673,Gogoat,Mount,GRASS,NONE,It can tell how its Trainer is feeling by subtle shifts in the grip on its horns. This empathic sense lets them run as if one being.,They inhabit mountainous regions. The leader of the herd is decided by a battle of clashing horns.,It can tell how its Trainer is feeling by subtle shifts in the grip on its horns. This empathic sense lets them run as if one being.,They inhabit mountainous regions. The leader of the herd is decided by a battle of clashing horns.
674,Pancham,Playful,FIGHTING,NONE,"It does its best to be taken seriously by its enemies, but its glare is not sufficiently intimidating. Chewing on a leaf is its trademark.","It does its level best to glare and pull a scary face, but it can't help grinning if anyone pats its head.","It does its best to be taken seriously by its enemies, but its glare is not sufficiently intimidating. Chewing on a leaf is its trademark.","It does its level best to glare and pull a scary face, but it can't help grinning if anyone pats its head."
675,Pangoro,Daunting,FIGHTING,DARK,"Although it posses a violent temperament, it won't put up with bullying. It uses the leaf in its mouth to sense the movements of its enemies.","It charges ahead and bashes its opponents like a berserker, uncaring about any hits it might take. Its arms are mighty enough to snap a telephone pole.","Although it possesses a violent temperament, it won't put up with bullying. It uses the leaf in its mouth to sense the movements of its enemies.","It charges ahead and bashes its opponents like a berserker, uncaring about any hits it might take. Its arms are mighty enough to snap a telephone pole."
676,Furfrou,Poodle,NORMAL,NONE,Trimming its fluffy fur not only makes  it more elegant but also increases the  swiftness of its movements.,"Historically, in the Kalos region, these Pok̩mon were the designated guardians of the king.",Trimming its fluffy fur not only makes it more elegant but also increases the swiftness of its movements.,"Historically, in the Kalos region, these Pok̩mon were the designated guardians of the king."
